"Neighborhood","House.Style","Overall.Qual","Year.Built","Exterior.1st","Exterior.2nd","Mas.Vnr.Area","Foundation","Bsmt.Qual","BsmtFin.Type.1","BsmtFin.SF.1","Total.Bsmt.SF","Gr.Liv.Area","Full.Bath","Kitchen.Qual","Fireplaces","Fireplace.Qu","Garage.Finish","Garage.Cars","SalePrice"
4,1,5,70,9,9,300,2,3,3,360,835,1453,1,4,2,2,1,1,11.7905572015685
4,1,6,76,15,16,0,2,3,3,300,780,1416,1,3,0,4,1,1,11.8486831606536
4,1,5,64,14,15,0,2,3,3,276,528,1040,1,3,0,0,3,2,11.7272300676172
21,6,7,49,13,14,0,1,3,1,0,576,1710,2,3,0,0,1,2,11.8493977015914
21,1,4,43,9,9,0,2,3,1,0,888,1962,1,3,1,3,1,2,11.9150516718129
21,6,6,40,15,16,0,3,3,1,0,780,1560,1,4,0,0,3,0,11.982303898822
12,3,5,91,15,16,0,2,4,2,104,816,816,1,3,0,4,1,2,11.6082356447746
12,6,4,58,14,17,0,4,4,5,0,0,1092,2,2,0,0,2,0,10.9150884642146
5,6,7,68,9,9,0,2,3,1,0,1032,2403,2,3,2,3,1,1,12.4065615062796
5,3,5,87,7,7,90,2,4,3,766,1422,1675,2,3,2,4,1,1,12.0610468734799
26,1,5,43,15,17,0,1,3,3,1026,1212,1392,1,3,0,2,0,0,11.5129254649702
26,1,6,68,14,15,0,2,2,2,368,600,919,1,3,0,4,1,1,11.4616321705827
26,6,4,35,15,14,0,2,3,3,73,707,1884,1,3,0,0,0,0,11.4443146633424
22,1,5,3,14,15,0,2,3,1,0,780,1020,1,3,0,0,0,0,11.4510500612521
22,3,4,95,10,11,72,2,3,5,704,1832,1832,2,3,0,0,2,0,11.8204101647182
22,3,5,93,10,7,0,3,3,4,841,1039,1039,1,3,0,4,1,2,11.7867621306
22,3,5,95,7,7,0,2,3,5,842,912,912,1,3,1,2,1,1,11.7360690162844
22,3,5,96,10,11,0,2,3,3,188,1060,1060,1,4,1,3,1,1,11.9447078813958
22,3,5,94,7,7,47,2,3,4,240,864,892,1,4,0,0,1,1,11.8342840637814
22,3,5,96,7,7,0,2,3,6,775,864,864,1,3,0,0,1,1,11.8295593593718
22,7,5,106,10,11,0,2,4,6,1319,1319,1373,1,3,2,3,3,2,11.9844903747829
22,6,6,106,7,7,328,2,3,3,438,672,1386,2,3,1,3,3,2,11.9760303525248
5,6,7,124,15,16,0,3,5,6,1201,1306,2260,2,4,0,4,2,2,12.7007688873663
5,3,7,105,15,16,0,2,4,5,1092,1420,1483,1,3,2,3,2,2,12.5061772379805
22,3,4,55,15,16,0,1,2,1,0,660,756,1,3,0,4,1,2,11.3504065354725
5,3,7,107,10,11,0,3,4,6,1258,1332,1524,0,4,1,3,3,2,12.4684369099977
5,6,6,106,14,15,288,3,4,5,964,1117,1981,2,4,1,3,3,2,12.3458345879053
8,1,3,66,15,16,0,2,3,4,288,972,1610,2,2,1,4,2,1,11.7280368445872
8,3,5,48,15,16,0,1,3,5,108,458,835,1,3,0,0,1,1,11.3265958867787
8,3,5,84,15,16,0,2,3,4,739,1144,1144,1,3,0,0,1,1,11.7675676833438
8,3,5,82,16,17,0,2,3,4,954,1172,1172,1,3,0,0,3,1,11.7597855429018
8,3,6,137,14,15,0,3,4,6,36,1212,1212,2,4,0,4,2,2,12.1335019526953
8,3,7,137,14,15,96,3,4,6,1346,1508,1508,1,4,2,3,2,2,12.6379524598098
8,3,4,74,9,9,0,2,4,0,0,0,930,1,4,0,4,1,1,11.3492293722994
23,6,7,121,9,9,246,3,4,6,750,1050,1949,2,4,1,3,3,2,12.3715870840077
23,7,6,120,7,7,0,3,4,6,747,936,996,1,4,0,0,1,2,11.8981878657609
6,3,7,134,14,15,24,3,4,6,686,1187,1208,2,4,0,0,2,2,12.2356314477717
6,3,7,137,14,15,0,3,4,1,0,1226,1226,2,4,0,0,2,3,12.2005574648421
6,3,7,138,14,15,80,3,4,6,24,1222,1222,2,4,0,0,2,2,12.1388638958367
23,6,7,118,10,11,0,3,4,6,1470,1673,3222,3,4,2,3,1,3,12.6760762747759
23,1,6,28,15,11,0,3,2,1,0,676,1445,2,3,0,0,1,2,11.8386256046095
5,8,6,99,7,7,80,2,3,6,504,1010,1052,1,3,0,0,1,2,11.9511803959014
6,7,5,124,14,15,0,3,4,6,870,870,965,1,3,0,0,1,2,11.9766594812024
6,6,7,125,14,15,0,3,4,5,353,878,1692,2,3,1,3,2,2,12.1600287070288
6,3,5,105,6,6,0,2,4,6,198,1026,1026,1,3,0,4,1,1,11.9183905730784
6,6,6,105,7,7,153,2,4,6,378,689,1392,1,3,0,0,3,1,11.9938072123631
6,3,5,104,7,7,0,2,3,2,182,894,894,1,3,0,0,1,1,11.7613468234687
6,3,8,129,14,15,479,3,4,6,1358,1581,1601,2,4,1,3,2,2,12.5135573452781
6,3,6,131,14,15,170,3,4,6,672,848,848,1,4,0,4,3,2,11.8758309586596
6,3,6,132,14,15,169,3,4,6,662,848,848,1,4,0,0,2,2,11.870599909242
6,3,8,131,14,15,171,3,4,4,370,1657,1668,2,4,1,3,3,2,12.3544926506484
6,3,7,132,14,15,98,3,4,6,24,1414,1414,2,4,0,0,2,2,12.1308101610296
8,3,3,73,14,15,0,2,4,6,0,0,640,1,3,0,0,1,1,11.3492293722994
8,3,5,82,14,15,0,2,2,1,0,381,992,1,3,0,5,1,1,11.9569123240658
8,3,5,96,9,9,0,2,4,5,1070,1196,1196,1,3,0,0,2,1,11.8775685785581
8,8,6,104,10,11,0,2,3,5,422,1029,1117,1,3,1,3,1,2,11.580584113444
8,3,4,86,16,17,0,2,3,1,0,960,960,1,3,0,0,0,0,11.4075649493124
8,1,4,69,9,9,0,1,4,4,348,672,924,1,2,0,0,1,1,11.289781913656
8,3,5,85,7,7,145,2,3,3,383,1216,1526,1,3,1,4,1,1,11.8810347865346
26,3,5,52,9,15,203,1,3,3,133,1107,1296,2,2,1,4,1,1,11.5521461781235
8,3,3,42,13,14,0,1,3,3,203,864,864,1,3,0,0,1,1,10.9767820332199
26,1,5,52,4,16,0,1,3,2,218,1026,1691,2,4,1,4,1,1,11.7519423654407
26,3,6,67,15,16,0,2,3,3,238,856,856,1,3,1,4,1,2,11.7440371859336
26,1,6,47,15,17,0,3,3,1,0,804,2447,2,4,1,4,1,1,12.0376539939052
7,1,7,69,15,16,371,1,4,5,426,1528,2133,1,3,2,3,1,1,12.4587749990859
7,6,5,78,14,15,430,2,3,5,375,1032,2177,2,3,0,0,1,2,12.2783933071098
7,6,7,69,6,6,0,5,3,6,275,1152,2340,2,4,2,4,2,1,12.493129522588
7,3,7,87,4,7,0,3,4,6,1406,1902,1902,2,5,2,3,3,2,12.7218858108072
7,8,7,122,14,15,44,3,4,6,343,423,1652,2,4,0,0,2,2,12.2216260616236
2,3,8,117,7,7,0,2,4,6,747,982,1034,1,4,1,3,3,2,12.1281111040605
7,3,7,87,4,16,0,2,3,5,1247,1501,1801,2,3,2,3,3,2,12.5741819670946
12,3,2,69,15,16,0,1,3,4,480,480,540,1,3,0,0,1,1,11.3144745262464
12,1,6,49,15,16,0,1,3,4,308,629,1107,1,3,0,0,1,1,11.6082356447746
12,1,4,48,9,9,0,2,3,1,0,698,1128,1,3,0,3,2,2,11.1331281036106
12,1,4,28,9,9,0,5,3,1,0,859,1178,1,3,0,2,2,1,11.5403071417114
12,3,5,80,15,16,0,2,3,1,0,540,1044,1,2,0,0,1,2,10.9329819619041
12,3,4,24,15,16,0,2,3,1,0,756,952,1,3,0,0,2,1,10.822534482604
7,3,8,132,6,6,186,3,5,6,1373,1594,1646,2,4,1,4,3,2,12.4130868149145
15,6,8,126,14,15,0,3,4,6,615,1049,1916,2,4,1,3,1,3,12.4486265903642
15,8,6,105,10,11,0,2,3,5,679,1243,1285,2,4,1,2,1,2,12.1547793511426
15,8,6,104,7,7,335,2,3,6,539,1012,1034,1,3,0,0,1,3,12.04296530766
27,3,5,76,15,16,0,2,3,4,353,747,1687,1,3,2,3,1,2,11.982929094216
27,3,7,137,14,15,0,3,4,1,0,1214,1214,2,4,0,0,2,2,12.0994947224659
27,6,5,134,14,15,0,3,4,1,0,384,1444,2,3,0,0,3,2,12.0668105781967
27,6,8,137,14,15,84,3,5,1,0,774,1968,2,5,1,4,3,3,12.5043236693312
27,6,7,130,14,15,44,3,4,6,624,817,1894,2,4,1,4,3,2,12.2779280826306
27,6,8,130,14,15,0,3,4,1,0,967,1908,2,4,0,0,3,2,12.2204685258139
27,3,9,136,13,6,0,3,5,1,0,2002,2018,2,5,1,4,3,3,12.8439713518596
15,3,5,93,10,7,0,2,3,3,42,1068,1264,1,3,1,3,1,2,12.0376539939052
15,3,5,132,14,15,0,3,5,1,0,1430,1430,2,4,0,0,2,2,12.0639328783691
15,6,6,99,9,17,0,2,3,1,0,912,1824,2,3,0,0,2,0,11.8422292121128
15,3,5,127,14,15,0,3,4,1,0,1344,1344,2,3,1,4,1,2,12.0227505884026
14,6,4,101,6,6,0,2,3,4,334,546,1092,1,3,0,0,2,1,11.3326019108389
14,3,5,101,6,6,0,2,4,6,915,945,945,1,3,1,1,2,1,11.6910716503537
14,6,4,98,6,6,0,2,3,6,176,546,1092,1,3,0,0,0,0,11.2384886192685
14,7,4,100,6,6,0,2,4,2,150,630,630,1,3,0,0,0,0,11.2318879352371
14,6,4,98,6,6,0,2,3,1,0,546,1092,1,3,0,0,0,0,11.3879289747955
14,6,4,100,6,6,0,2,3,3,294,546,1092,1,3,0,4,1,1,11.3562716549249
15,3,5,99,14,15,0,2,3,5,469,864,874,1,3,0,0,1,1,11.7752897294377
15,3,5,90,7,7,189,2,3,3,593,1188,1188,1,3,0,4,1,1,11.9697172002437
15,3,5,112,14,15,0,2,4,3,207,833,833,1,4,0,0,1,2,11.9177236840907
15,6,5,113,7,7,0,3,3,1,0,1216,2432,4,3,0,1,1,2,11.9766594812024
15,6,5,119,7,7,0,3,4,3,458,624,1274,1,3,0,0,1,2,11.8204101647182
15,3,8,122,14,15,0,3,4,6,1341,1679,1803,2,4,2,3,1,2,12.5602444592508
15,6,6,121,14,15,0,3,4,6,944,1152,1797,2,4,1,2,3,2,12.3501729895039
16,3,6,84,9,9,0,2,2,3,564,882,882,1,3,0,0,1,1,11.7320609948869
16,3,6,102,10,11,440,2,3,2,844,1434,1434,2,3,1,4,2,2,11.9640010843304
16,8,8,100,10,16,0,2,4,6,1410,1952,2704,2,5,3,3,3,2,12.7512996960135
9,6,6,125,14,15,0,3,4,5,847,945,1608,2,3,1,3,3,2,12.1521443035046
9,6,8,131,14,15,188,3,4,6,850,1008,2283,2,4,1,4,3,3,12.5061772379805
9,3,9,134,14,15,160,3,5,6,1320,1746,1746,2,5,2,4,3,3,12.8413258476712
9,8,7,123,7,7,22,3,4,1,0,384,1474,2,3,1,3,3,2,12.0346910287746
25,3,8,128,6,6,0,3,4,6,1158,1501,1659,2,5,1,5,3,2,12.5353763926728
25,3,8,123,6,6,0,3,4,6,741,1587,1734,2,4,0,0,2,2,12.3863086958331
9,8,7,126,14,15,0,3,4,6,189,384,1382,2,3,1,3,3,2,12.0867258878976
9,6,7,126,14,15,40,3,4,1,0,832,1718,2,3,1,3,3,2,12.1281111040605
9,6,6,126,14,15,0,3,4,6,476,952,1636,2,3,1,3,3,2,12.1600287070288
9,6,6,121,14,15,0,3,4,1,0,799,1571,2,3,1,3,2,2,12.0895388292742
9,6,6,121,14,15,68,3,4,5,310,680,1470,2,3,1,3,3,2,12.1281111040605
9,3,6,121,7,7,45,3,4,1,0,1181,1190,2,4,1,3,1,2,12.0197430673387
9,6,6,120,14,15,0,3,4,1,0,808,1593,2,3,1,3,2,2,12.0895388292742
9,3,6,120,7,7,106,3,4,6,560,1158,1167,2,4,0,4,2,2,12.0610468734799
9,3,7,118,7,7,0,3,4,1,0,1424,1442,2,3,0,0,2,2,12.1034860567551
25,3,9,136,14,15,748,3,5,6,1904,2216,2234,2,5,1,4,3,3,13.1260306447518
25,3,8,136,14,15,464,3,5,1,0,2046,2046,2,4,1,4,3,3,12.8279923168018
25,3,7,133,14,15,16,3,5,5,1274,1530,1530,2,4,1,4,3,2,12.4684369099977
9,6,5,105,7,16,157,3,4,5,400,1122,1934,2,3,1,3,1,2,12.1281111040605
20,3,6,107,7,7,0,2,4,1,0,1362,1586,2,3,1,3,1,2,12.106252310248
20,3,7,105,10,11,209,2,3,5,822,1386,1411,2,3,1,3,3,2,11.3205535723228
20,6,7,106,7,7,256,2,4,1,0,832,2050,2,4,1,3,2,2,11.9447078813958
20,3,6,106,14,15,101,3,3,2,363,1427,1671,2,3,1,3,2,2,12.2060726455302
20,6,7,108,10,11,229,2,4,5,602,1043,2673,2,4,1,3,2,2,12.4252081754468
20,8,7,108,10,11,225,2,4,6,1036,1372,1472,2,3,2,3,1,2,12.1415341243926
20,3,6,106,7,7,144,3,3,5,832,1140,1707,2,3,1,3,3,2,12.1226910365911
20,3,8,109,4,4,0,3,4,5,1104,2524,2524,2,4,1,4,3,2,12.5353763926728
20,3,7,106,10,11,206,2,4,5,704,1271,1601,2,3,1,3,2,2,11.9640010843304
20,3,7,104,7,7,189,2,4,1,0,1090,1370,2,3,1,3,2,2,11.9316357998284
24,6,7,131,6,6,0,3,4,6,622,926,1884,2,5,1,5,2,2,12.392137188603
24,6,8,137,14,15,110,3,4,6,544,832,1935,2,3,0,4,3,2,12.4815619372163
24,6,8,128,14,15,0,3,4,1,0,1058,1874,2,4,1,3,3,2,12.3013828253345
24,6,8,130,14,15,0,3,4,6,225,972,1811,2,4,1,4,2,2,12.3673407931263
20,3,5,103,7,7,161,2,4,5,1333,1621,1621,2,3,2,2,2,2,12.2690474446916
